company,product,color,price,material,model,Avg_Rating,No. Reviews,No. Rating,link
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men","Blue, Green","? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.2,392,"3,998",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itme2eaf203f439b?pid=SHOGY2VSZ7GMQZ3V&lid=LSTSHOGY2VSZ7GMQZ3VQIFGKX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_1&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3Diaq9Jw92x3iAiSumGB3oG-21KPzhJJ04HQtLWUjQB5pVw%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
RED TAPE,"Atheleisure Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",White,"? 1,379",Textile,"Atheleisure Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.1,108,"1,224",https://www.flipkart.com/red-tape-atheleisure-sports-shoes-men-soft-cushioned-insole-slip-resistance-walking/p/itm746fc37e0252b?pid=SHOGYTEAPRRFXBHT&lid=LSTSHOGYTEAPRRFXBHTDEFJKB&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_2&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DibNyV5C9YVTdzXaSLhouUQJQlQJIksdPY_vwAeBaZG5Yg%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
REEBOK,SUPER SPEED Walking Shoes For Men,Black,"? 1,047",Mesh,SUPER SPEED,4.2,890,"10,091",https://www.flipkart.com/reebok-super-speed-walking-shoes-men/p/itm89c8fc193819a?pid=SHOGR7FYUYZF3W2G&lid=LSTSHOGR7FYUYZF3W2GI1BATM&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_3&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiYu1nsa2--DQZsDZjq1HN0eauKqvKXZvYT-3UJ1nZfD7Q%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,CriNu Cricket Shoes For Men,White,"? 1,397",Synthetic,CriNu,4.3,249,"3,266",https://www.flipkart.com/adidas-crinu-cricket-shoes-men/p/itm67c59723cbd9e?pid=SHOGEH3NHAZEH5GE&lid=LSTSHOGEH3NHAZEH5GELNFTEH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_4&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGEH3NHAZEH5GE.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,X CRAZYFAST CLUB FxG Football Shoes For Men,Red,"? 2,437","Synthetic, Textile",X CRAZYFAST CLUB FxG,4.3,19,133,https://www.flipkart.com/adidas-x-crazyfast-club-fxg-football-shoes-men/p/itm8bcda53c3f44a?pid=SHOGW4F88FYTXWJ8&lid=LSTSHOGW4F88FYTXWJ8LNME1B&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_5&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGW4F88FYTXWJ8.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
asian,"wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men","Green, Grey, Blue",? 588,Fabric,Mesh,4.2,"53,620","4,02,270",https://www.flipkart.com/asian-wndr-13-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-running/p/itmff96xgyjjf3fx?pid=SHOF3KF5JV3PDQHW&lid=LSTSHOF3KF5JV3PDQHW3ZSMEL&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_6&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOF3KF5JV3PDQHW.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
Abros,ARIZONA-N Running Shoes For Men,White,? 799,FLYKNIT/MESH,Mesh,3.9,264,"3,447",https://www.flipkart.com/abros-arizona-n-running-shoes-men/p/itma55de8d3f0f93?pid=SHOGC2M9JEUFQXEW&lid=LSTSHOGC2M9JEUFQXEW6N2RYP&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_7&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DialZDHT1X7gyiYeMGe3X0ZYyTJQST5a0KM2Kqc4vlxNY8DbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
RED TAPE,"Sports Shoes for Men | Dial Lace Quick On, Soft Cushioned Insole Walking Shoes For Men",Black,"? 1,799",Mesh,"Sports Shoes for Men | Dial Lace Quick On, Soft Cushioned Insole",Rating Not Available,No rating Found,No rating Found,https://www.flipkart.com/red-tape-sports-shoes-men-dial-lace-quick-on-soft-cushioned-insole-walking/p/itm26a7f8b7b22ed?pid=SHOGXWYNMK3KCYVQ&lid=LSTSHOGXWYNMK3KCYVQSKOCLD&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_8&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiY9QPq1rZl6J6fIBxD-KpKWXTw2ynR-XJ5NxXRLL6YmbU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,GlideEase M Running Shoes For Men,Black,"? 1,799",Synthetic,GlideEase M,4.1,"2,471","28,977",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itma400490472c7c?pid=SHOGGW2RGERWNHGA&lid=LSTSHOGGW2RGERWNHGA61SREI&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&spotlightTagId=BestsellerId_osp%2Fcil%2F1cu&srno=b_1_9&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGGW2RGERWNHGA.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
CAMPUS,DECOR Running Shoes For Men,Olive,"? 1,070",Mesh,DECOR,4.1,4,62,https://www.flipkart.com/campus-decor-running-shoes-men/p/itma0c75b4c55301?pid=SHOGTYT5FVR8QAJM&lid=LSTSHOGTYT5FVR8QAJMXPOFYH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_10&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGTYT5FVR8QAJM.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
